-0.002, -0.034, -0.006, 0.029, 0, 0.050, -0.124, -0.346, 0.273, 0, 3
-0.031, 0.032, -0.046, 0.021, 0, 0.021, -0.058, -0.386, 0.252, 0, 3
0.004, 0.038, 0.011, 0.031, 0, 0.057, -0.052, -0.329, 0.280, 0, 3
-0.017, 0.047, 0.033, 0.011, 0, 0.036, -0.044, -0.308, 0.266, 0, 3
0.002, -0.027, -0.019, -0.039, 0, 0.053, -0.117, -0.360, 0.200, 0, 3
-0.045, 0.030, -0.026, -0.032, 0, 0.007, -0.060, -0.367, 0.205, 0, 3
0.021, -0.043, 0.048, -0.026, 0, 0.072, -0.134, -0.293, 0.234, 0, 3
0.037, -0.047, 0.045, -0.038, 0, 0.088, -0.138, -0.297, 0.221, 0, 3
-0.022, -0.010, 0.013, -0.009, 0, 0.029, -0.100, -0.328, 0.240, 0, 3
-0.044, -0.045, -0.041, 0.016, 0, 0.007, -0.135, -0.381, 0.248, 0, 3
-0.031, -0.047, -0.043, -0.035, 0, 0.020, -0.137, -0.384, 0.196, 0, 3
0.011, -0.047, -0.025, -0.001, 0, 0.062, -0.137, -0.365, 0.237, 0, 3
0.025, 0.003, 0.012, 0.020, 0, 0.077, -0.087, -0.328, 0.269, 0, 3
-0.006, -0.046, 0.020, 0.050, 0, 0.045, -0.137, -0.320, 0.301, 0, 3
-0.025, -0.019, -0.020, -0.037, 0, 0.026, -0.109, -0.361, 0.202, 0, 3
-0.021, 0.039, 0.027, -0.007, 0, 0.031, -0.052, -0.314, 0.247, 0, 3
0.011, 0.033, 0.046, -0.013, 0, 0.063, -0.058, -0.295, 0.246, 0, 3
0.043, -0.041, 0.005, -0.031, 0, 0.094, -0.131, -0.336, 0.216, 0, 3
-0.041, -0.047, 0.023, 0.006, 0, 0.011, -0.137, -0.317, 0.258, 0, 3
0.001, -0.029, 0.035, 0.045, 0, 0.052, -0.120, -0.305, 0.301, 0, 3
0.037, 0.037, 0.039, -0.039, 0, 0.090, -0.054, -0.302, 0.219, 0, 3
0.004, -0.049, -0.011, 0.012, 0, 0.055, -0.140, -0.352, 0.254, 0, 3
-0.020, 0.029, 0.021, 0.020, 0, 0.033, -0.062, -0.320, 0.272, 0, 3
0.049, -0.028, 0.025, 0.003, 0, 0.101, -0.118, -0.315, 0.256, 0, 3
0.050, 0.026, -0.022, -0.025, 0, 0.102, -0.064, -0.363, 0.213, 0, 3
-0.014, 0.023, -0.041, 0.012, 0, 0.039, -0.066, -0.381, 0.244, 0, 3
0.007, -0.037, -0.038, -0.023, 0, 0.059, -0.126, -0.380, 0.210, 0, 3
-0.020, 0.036, -0.005, -0.044, 0, 0.033, -0.055, -0.346, 0.200, 0, 3
0.035, -0.033, -0.001, 0.019, 0, 0.086, -0.124, -0.342, 0.264, 0, 3
0.048, 0.044, 0.003, 0.039, 0, 0.101, -0.046, -0.337, 0.286, 0, 3
-0.011, 0.004, 0.004, 0.043, 0, 0.041, -0.087, -0.336, 0.289, 0, 3
0.026, 0.006, 0.010, 0.017, 0, 0.078, -0.084, -0.330, 0.265, 0, 3
0.023, 0.006, -0.016, 0.005, 0, 0.075, -0.084, -0.357, 0.245, 0, 3
-0.010, -0.005, -0.003, -0.006, 0, 0.042, -0.095, -0.344, 0.238, 0, 3
0.010, 0.020, 0.002, -0.047, 0, 0.062, -0.070, -0.340, 0.199, 0, 3
0.010, 0.022, 0.018, 0.046, 0, 0.063, -0.068, -0.322, 0.297, 0, 3
-0.035, -0.050, -0.004, 0.048, 0, 0.016, -0.140, -0.344, 0.292, 0, 3
0.045, 0.024, -0.025, 0.004, 0, 0.097, -0.066, -0.366, 0.242, 0, 3
-0.014, 0.012, 0.013, 0.041, 0, 0.039, -0.078, -0.327, 0.291, 0, 3
-0.002, 0.029, -0.033, -0.031, 0, 0.050, -0.060, -0.374, 0.204, 0, 3
-0.004, -0.029, -0.024, -0.005, 0, 0.048, -0.119, -0.365, 0.233, 0, 3
-0.018, 0.004, -0.004, 0.042, 0, 0.034, -0.086, -0.344, 0.286, 0, 3
0.038, 0.043, 0.049, 0.038, 0, 0.091, -0.048, -0.291, 0.298, 0, 3
0.033, -0.039, 0.014, 0.024, 1, 0.084, 0.261, -0.326, -0.311, 0, 3
-0.048, -0.005, 0.004, -0.045, 0, 0.004, -0.096, -0.338, 0.202, 0, 3
-0.021, 0.050, -0.038, 0.034, 0, 0.032, -0.040, -0.378, 0.267, 0, 3
-0.018, -0.030, -0.018, 0.047, 0, 0.033, -0.120, -0.357, 0.287, 0, 3
0.031, -0.007, -0.047, 0.006, 0, 0.083, -0.096, -0.388, 0.237, 0, 3
-0.027, -0.027, -0.036, -0.009, 0, 0.025, -0.117, -0.377, 0.225, 0, 3
0.048, 0.002, -0.045, 0.045, 0, 0.100, -0.087, -0.385, 0.276, 0, 3
-0.006, -0.009, 0.010, -0.007, 0, 0.046, -0.100, -0.331, 0.241, 0, 3
0.012, 0.022, -0.014, 0.004, 0, 0.065, -0.068, -0.355, 0.244, 0, 3
0.019, 0.014, -0.000, -0.016, 0, 0.071, -0.076, -0.341, 0.229, 0, 3
0.021, -0.001, -0.017, -0.046, 0, 0.073, -0.091, -0.359, 0.194, 0, 3
-0.033, -0.035, 0.023, 0.037, 0, 0.018, -0.125, -0.317, 0.290, 0, 3
-0.001, 0.011, 0.041, -0.004, 0, 0.052, -0.080, -0.300, 0.254, 0, 3
-0.039, -0.033, -0.031, 0.036, 0, 0.012, -0.123, -0.371, 0.271, 0, 3
0.040, 0.008, 0.002, -0.014, 0, 0.092, -0.082, -0.338, 0.232, 0, 3
-0.031, -0.042, 0.028, -0.016, 0, 0.021, -0.133, -0.313, 0.238, 0, 3
-0.042, 0.040, -0.006, -0.012, 0, 0.011, -0.051, -0.347, 0.231, 0, 3
0.040, -0.008, 0.039, 0.032, 0, 0.092, -0.098, -0.302, 0.289, 0, 3
0.040, 0.002, 0.008, -0.037, 0, 0.092, -0.088, -0.333, 0.211, 0, 3
-0.030, -0.050, 0.036, 0.001, 0, 0.021, -0.141, -0.305, 0.257, 0, 3
0.006, 0.028, -0.043, -0.031, 0, 0.058, -0.062, -0.384, 0.200, 0, 3
-0.001, 0.024, -0.030, -0.006, 0, 0.052, -0.066, -0.371, 0.230, 0, 3
0.005, -0.018, -0.037, 0.037, 0, 0.057, -0.108, -0.377, 0.270, 0, 3
0.006, -0.041, 0.048, 0.018, 0, 0.057, -0.132, -0.293, 0.278, 0, 3
-0.034, -0.025, -0.019, -0.021, 0, 0.017, -0.115, -0.360, 0.218, 0, 3
-0.044, 0.020, 0.023, -0.025, 0, 0.008, -0.070, -0.318, 0.227, 0, 3
-0.049, 0.006, 0.034, -0.008, 0, 0.003, -0.084, -0.307, 0.248, 0, 3
0.029, 0.001, 0.009, 0.037, 0, 0.081, -0.089, -0.331, 0.285, 0, 3
-0.030, 0.040, 0.027, 0.044, 0, 0.023, -0.050, -0.313, 0.298, 0, 3
-0.033, -0.046, -0.030, 0.040, 0, 0.018, -0.136, -0.370, 0.276, 0, 3
-0.031, -0.007, -0.034, -0.033, 0, 0.021, -0.097, -0.375, 0.202, 0, 3
0.041, -0.002, 0.042, -0.006, 0, 0.093, -0.093, -0.299, 0.252, 0, 3
0.008, -0.010, -0.019, -0.047, 1, 0.060, 0.290, -0.360, -0.393, 0, 3
0.027, 0.023, 0.022, -0.018, 0, 0.079, -0.068, -0.319, 0.234, 0, 3
0.014, -0.009, -0.016, 0.012, 0, 0.066, -0.099, -0.356, 0.252, 0, 3
-0.009, -0.001, 0.007, 0.020, 1, 0.043, 0.298, -0.334, -0.318, 0, 3
-0.047, -0.005, -0.006, 0.049, 0, 0.005, -0.095, -0.345, 0.293, 0, 3
-0.018, 0.027, -0.017, -0.011, 0, 0.035, -0.063, -0.358, 0.229, 0, 3
0.019, -0.016, 0.010, 0.039, 0, 0.071, -0.107, -0.330, 0.288, 0, 3
0.030, -0.023, -0.036, -0.029, 0, 0.081, -0.113, -0.378, 0.205, 0, 3
-0.043, -0.044, 0.034, -0.044, 0, 0.008, -0.135, -0.307, 0.212, 0, 3
-0.011, 0.009, 0.029, -0.001, 0, 0.042, -0.081, -0.312, 0.253, 0, 3
0.016, -0.041, 0.044, 0.005, 0, 0.067, -0.132, -0.297, 0.264, 0, 3
-0.032, -0.003, 0.035, 0.038, 0, 0.020, -0.093, -0.305, 0.295, 0, 3
0.037, 0.028, 0.003, 0.007, 0, 0.090, -0.062, -0.337, 0.253, 0, 3
0.028, 0.006, -0.008, 0.005, 0, 0.080, -0.084, -0.349, 0.248, 0, 3
0.032, 0.007, 0.043, -0.045, 0, 0.084, -0.084, -0.299, 0.214, 0, 3
-0.024, -0.044, 0.035, -0.010, 0, 0.027, -0.135, -0.306, 0.246, 0, 3
-0.010, -0.018, -0.016, 0.021, 0, 0.042, -0.108, -0.356, 0.261, 0, 3
0.019, 0.030, 0.042, 0.011, 0, 0.072, -0.061, -0.298, 0.269, 0, 3
-0.034, 0.005, -0.009, -0.017, 0, 0.018, -0.085, -0.350, 0.226, 0, 3
-0.013, -0.007, 0.001, -0.033, 0, 0.038, -0.097, -0.340, 0.213, 0, 3
0.005, -0.013, 0.022, 0.025, 0, 0.057, -0.104, -0.318, 0.277, 0, 3
-0.009, -0.050, 0.043, -0.014, 0, 0.042, -0.141, -0.298, 0.245, 0, 3
0.012, 0.026, -0.035, -0.027, 0, 0.064, -0.064, -0.376, 0.207, 0, 3
0.012, 0.019, -0.012, 0.002, 0, 0.064, -0.072, -0.352, 0.244, 0, 3
-0.003, -0.001, -0.038, -0.013, 0, 0.049, -0.091, -0.379, 0.220, 0, 3
